sense	Danish	Dutch	Elfdalian	English	Frisian	German	Hindi	Spanish	Swedish
HORN	hoɐ̯ˀn	horn	ʉənː		'wanə	hɔrn	siŋɡ	'kweɾno	hu:ɳ
HOT	vɑˀm	wɑrm	wɑrm		vaːrm	varm	gəɾəm	ka'ljente	varm
HOUSE					hu:s		məkɑn	'kasa	
HOW	vɒˈle:ðəs	hu	ʉːr	haʊ	hu	vi:	kɛse	'komo	hʉ:r
HUNT	ˈjæ:jə	'jaɣə(n)	ˈjɑ̀ːgɑ	hʊnt	'jɛ.ijə	'ja:gn̩	ʃɪkəɾ kəɾnā	ka'θaɾ	ˈjɑ̀ːɡa
I	jɑj	ɪk	ɪːg	aɪ	ɪk	ɪç	mɛ̃	jo	jɑːɡ, jɑː
ICE	iˀs	ɛis	ɑɪs	aɪs	iːs	aĭs	bəɾf	'jelo	i:s
KILL	ˈd̥ʁɛ:b̥ə	'slɑχtə(n)	ˈɛ̀ːlɑ	kɪl	'dɪ.ədzjə	'tø:tn̩	mɑɾnɑ	ma'taɾ	ˈdrɛ̀:pa
KNEE	knɛˀ	kni	knɪː	ni:	'knɪbəl	kni:	gʱʊʈnɑ	ro'ðiʎa	knɛ:
KNOW	ˈvi:ðə	'wetə(n)	ˈwɪ̀tɔ	nəʊ	'vɪtə	'vɪsn̩	dʒɑn:ɑ	sa'βeɾ	ˈvè:ta
LAKE	søˀ	mer	sjʉː	leɪk		ze:	ʤʱil	ˈlaɣo	ɧøː
LAUGH	leˀ	'lɑχə(n)	ˈgrɛ̃̀ːsɑs	lɑ:f	'laitçə	'laxn̩	hə̃snɑ	re'iɾse	ˈskràtːa
LEAF	b̥lað	blɑt	luːv	li:f	blɛ:t	blat	pət̪:ɑ	ˈoχa	blɑ:d
LEFT	ˈvɛnsd̥ʁʌ	lɪŋks	ˈwɪ̃́ːstɛr	lɛft	lɪŋks	lɪŋk	bɑjɑ̃	iθ'kjeɾðo	vɛnstər
